Address,Amount,LP,Percent,Contract
0xddc605e477e66a1df76bb4e59701c792f4ba1de7,1026808521,6.80312E+11,0.00050169,
0xf1bd97662077835f3a51d1bf38aa2be098e2de09,1016404902,6.73419E+11,0.0004966,
0xe545c3f00f72a46ff41967e9105900d7a178110a,1003352898,6.64772E+11,0.00049023,
0xaf3a731b8e8be8631b00c2ec01a42fba5144d98d,997359905,6.60801E+11,0.0004873,
0xf16e8f1f21dc9293429a3534d1d32c6dd42c9e46,995117165,6.59315E+11,0.0004862,
0x920edbfc26ac7e1e33c580514b1c270e970add00,991630516,6.57005E+11,0.0004845,
0x5c9cfbd803679a831d4d5b6b3363904ad6e8f541,989299705,6.55461E+11,0.00048336,
0x04bebf226d39027a49b28a86154628e583a99282,988499488,6.54931E+11,0.00048297,
0x8bd2c9442db9b0b23b1fa646bc12a76c7f673317,981077016,6.50013E+11,0.00047934,
0xf32f73c927bece3cc3697a3b4fa78d0032eae35e,967201778,6.4082E+11,0.00047256,
0x2238cd876a4686245c9fae47cb69fcb687973610,959642401,6.35811E+11,0.00046887,
0x6d45ef21b14dcb7f0a6ab6df82a5bd4e3173c1f6,921452175,6.10508E+11,0.00045021,
0x270d926978f0e2d6e0e5d7b6e8a531afbc2db9e0,909323542,6.02473E+11,0.00044429,
0x7f51f116ef0c1d7bf20c99bee3f8a492281028e2,826996961,5.47927E+11,0.00040406,
0xe40fe02fd66c0a11183338e9d06e23990ea8cbce,787789224,5.2195E+11,0.00038491,
0x00ce1f53919106ba6660c9f10eb01d02ccb60fc1,709193352,4.69876E+11,0.0003465,
0x790b61a86b6c27025fe171e73057662cf142f0d7,620139052,4.10873E+11,0.00030299,
0x85e596ae37266e35adff8a6d3bfdc354230a6290,605735734,4.0133E+11,0.00029596,
0x09742cfff4f696942fa6f2c849ee404b3d70b3a8,519315912,3.44073E+11,0.00025373,
0x08b776a6907303558433be9b9583f21d41a58dfd,494152002,3.27401E+11,0.00024144,
0xfa461110cd28223489e0d93264be29dc8737f2e6,492668112,3.26417E+11,0.00024071,
0x86e2c61207dfa9eed7eb643fe6bb20d92f80df0a,490538862,3.25007E+11,0.00023967,
0xfdeb2d6ac8614511b90f146bbf5c25fd166b34a4,472028543,3.12743E+11,0.00023063,
0x2086a811182f83a023c4da3dd9d2e5539b2d43c9,443889995,2.94099E+11,0.00021688,
0xdc185c78e60f71064140b23119b31113ce5941f9,430293247,2.85091E+11,0.00021024,
0xf14aa76a76df6f9450a544179129c12eecf2aeb6,424520393,2.81266E+11,0.00020742,
0xa0f15407c8ae5d05044e2994a48f4c40ac1880bf,393596964,2.60778E+11,0.00019231,
0x64cc8542fcda23089a239e1df6c4c77641c5bb45,378144871,2.5054E+11,0.00018476,
0xa4b4181a3e0c8b3ea1901ffa4aa914689f282360,319139039,2.11446E+11,0.00015593,
0x4eca0aaadf60505994daae85e9391e3bcfccc4f7,299045610,1.98133E+11,0.00014611,
0x8178612a0a934ff86ccd275189adbfe3bc885168,297143543,1.96873E+11,0.00014518,
0x7c29d8e1bba2c7625d6c28712311723f2882df23,296572817,1.96494E+11,0.0001449,
0x3d443c996f95d4911015d13173f7d0706c655161,245628442,1.62741E+11,0.00012001,
0x772187c3577b37205351836f0adb224883f274e1,243822772,1.61545E+11,0.00011913,
0x656e45e66f587fc70596dafb606b7a979cb45af1,227631687,1.50817E+11,0.00011122,
0x4f8e1942d94a1846def7d1eab881fd135322bf16,219892229,1.4569E+11,0.00010744,
0x4c0e28bbb141f41df9eb82203c0fce95a90f4b56,198246042,1.31348E+11,0.00009686,
0x7690453f91dbadef8a592a32c679d8f0f5e0116b,196098591,1.29925E+11,0.00009581,
0xc839b74d51b8f3045fa21a758af3089ef5b2c43e,175024593,1.15963E+11,0.00008552,
0x62c0084136fc2e53c5aeef96b95c0b5a98e0d207,132309896,87661969773,0.00006465,
0x7edc4a549bbde2d8e2b51a144a305ee95804229b,99279598,65777733806,0.00004851,
0xdbc045a8e4e0c8ffc95aea9342a265c63d81249f,98828295,65478722839,0.00004829,
0xb151bc2dedd3293beba1c3b0ec9f454ab8da4c19,98820359,65473464839,0.00004828,
0xdfca9137b3133bbdc9593d1b83a494d948585f81,83639686,55415504415,0.00004087,
0x8bf72116c32744541e4cf328b62664d1dca45396,79066390,52385465485,0.00003863,
0x5ce5c394a0f8a4be282c8659e405524a089a9843,76358461,50591326140,0.00003731,
0xa91f5349e135253b83639539053be611e1c98072,64794697,42929750091,0.00003166,
0x6436104e26fd9392f1ce1418b4f9761ae7ed15bc,57449296,38063051984,0.00002807,
0x5795c158fc6c810a38aa8e45436b3870b0efc80f,57054394,37801409520,0.00002788,
0xed3db70381c81e349d55f14bf0a333cb140f948d,30099791,19942627487,0.00001471,
0x14b8832673219e74d6272b228573f5a3d6421b6c,20876180,13831520661,0.0000102,
0x343ce8a4ab63430a205b672aa2cebb7ada6f7f8e,14579249,9659486734,0.00000712,
0x89960bfdaa0c144891146f54d767ec0910bdd6a6,12732746,8436085499,0.00000622,
0xdacc5d360cdbfe8b28ac15e20ea34a483e5c4de5,9910468,6566184182,0.00000484,
0x52351fb69cdd57d115508764f641c71eac65bad2,9848873,6525374392,0.00000481,
0xa4f29bcb74d1620eb438c4e86be61f4fac9efeee,1483460,982866963,0.00000072,
0x4fed5491693007f0cd49f4614ffc38ab6a04b619,1307053,865988441,0.00000064,
0x54287ddfe0b10b184c3bca80afafa0f4fc2202e7,1024598,678847778,0.0000005,
0xd97bf381af19c5fa809eb5905c26642691a3b572,983667,651728929,0.00000048,
0x67b5276ba2cabbcc67032adc246126ffa1d236c9,981066,650005636,0.00000048,
0xbc5a22f6df95f987ceef999cc812ed272a9b938a,663893,439862549,0.00000032,
0xb30dd1205e5ddc7d20e99b813441e06fd9a0b0ff,126650,83912004,0.00000006,
0x836f6e39a345eb56c8d5e5bf0cec65246674dcaf,74242,49189064,0.00000004,
0x0344c4f9985c85877d284bea8ea3df13498af96c,4228,2801263,0,
0xaaa63dcc3fcde7fe4c540745b97220d47cbb9bf9,1,663,0,
