address;raw_amount;assets
0x1563c4751ad2be48fd17464b73585b6ba8b6a5f0;0;0.000000
0x1576df7ed6c2f40947f1eac4656009863ecc7c67;0;0.000000
0x1578fdcd869b0ff6e8a254a40affeb2959c0fb6e;0;0.000000
0x159e420860c805bc585870f516a3a7227b7b1091;0;0.000000
0x15cd7d7a1fc0ca1b91f58d64a591da4f5c50ad7e;368808;0.368808
0x1640cc5944da93c3a56484a83f7b9f326d8d1755;9164393;9.164393
0x168d73e52f8a0bc3d28d31c4c21a3b7781330cc4;0;0.000000
0x16a2dadefa00ff1d7381b81bbf70ea6167bb4d89;0;0.000000
0x16a7727397ce4d689754bf00965963ae292d73aa;2159095;2.159095
0x16b0d66a69121691b21c01113a83dac51043c927;0;0.000000
0x16f562fb6587a19e19761654adb195f8bc879b5d;0;0.000000
0x16fb57d655ff5f893202d184173d05a2a0f00cbd;762617;0.762617
0x1721d47e29f3f1b0398b6889fb34c2b6981aa0c5;0;0.000000
0x175bf09109e152e895a7a8c04edbd1ca62996769;772839;0.772839
0x17b1d9a1a8f0363e04bccdf2839cb107b2297774;0;0.000000
0x18074ae62cee786ccd713aa12430338f08512b89;0;0.000000
0x18668c448a12714b0422e71f63943f764c721faa;0;0.000000
0x186b12ceaf08fde22e32647fcc800e45876f5bd0;0;0.000000
0x1892e547f4e1ba76f82a09c16c9f774744de1ff3;8004564;8.004564
0x189589abc6794f1c9b385099849c49598e987a68;0;0.000000
0x18b7aceaed4879da2bfad3c9ae2a32062e6e4a55;0;0.000000
0x1916c4eed545f78f402429a7550bb52a83e77b61;0;0.000000
0x19246d4cb92671d0f2166d00c9de687ead3206f8;0;0.000000
0x1949e964f74c302058374697f5738c95bf541d4f;0;0.000000
0x199745e7b4efead0b2f027e3c3c88b1c77b3b780;0;0.000000
0x19f595c5694b5c66997dbd813fec766a22fe9f1e;0;0.000000
0x1a5a04171dc7143afe49870fcda9c875e5f86f38;0;0.000000
0x1a60d723dfe0be0a73eb3857af7eab2a29fb9125;10456168;10.456168
0x1a68598b176492dd92542e84ff79fa7ec06adda1;0;0.000000
0x1ace35d5350da1b71bd7e9e7f5a09ff6cf14d2d6;0;0.000000
0x1b150798530d1cbe8f5822ce052656812d5dfc99;0;0.000000
0x1b1c30504c6a80e81c866895867d71d31ee95528;82022;0.082022
0x1b28ffcac70d62177afe349b445550e8ac930322;221031510;221.031510
0x1b35727072435bb97fbe8cc378eb6973c98faab3;0;0.000000
0x1b6f921d37953e321472dd7530c4171a59a10142;82121;0.082121
0x1b8b76c7528a9990e3ad435b41758de618a339de;0;0.000000
0x1b9da6a404df58c6bef6336e207c92b0d330bea2;728371;0.728371
0x1bc13c62af7443a482f5db8727c486f8267a3693;91057549;91.057549
0x1bdd2a02a33c70f7e1672b83652f0e5fc1e5eafc;110155;0.110155
0x1beb9a08b3caf70e3dc767770e4823c5d0f44b0a;0;0.000000
0x1c3c5942cb0d18a3ece158cac75b70d2ac01e917;0;0.000000
0x1c563ce15828bdf85b61455d10b761e9f498e62f;412997;0.412997
0x1c6d0b4988733193aa54f452b3cdc14e9e802a20;0;0.000000
0x1c8e219f9c55fbec6e697c00c2d91c2d06269eeb;0;0.000000
0x1c9d8823aebe15ce970d8ebca19dfa493f26c62a;0;0.000000
0x1cb432f80416f07db4420b8c20447924a0658894;0;0.000000
0x1cc397f85ccfcb3dba058ef0146b3c583e3b4eac;7586;0.007586
0x1cd14801537a3d1550b7e30a9ed59bf68d8cbc84;0;0.000000
0x1cf6f9c9e0d4a8b50175713d55ec4f2a21411050;0;0.000000
0x1cf8423299241f155716eb19d0ca65bea4353f03;0;0.000000
0x1d1e9147a2f48d32fd1520c9f86335db15c66ece;0;0.000000
