Network;Silo;Vault;Address;Type;Net Deposited Assets;Debt;Claim Amount;Symbol
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x9f5cead4a2f556a1985423e1b475650c347ef8ed;eoa;117,195268;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x3e5087ffd51f50ed9fcc8dced3b32a7e2e0c3c1f;eoa;107,275774;73,034018;34,241756;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x6a26fe32cbc9c782fcfd33b5a5998d0631927a1d;eoa;95,030829;0;95,030829;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x66af6f0b5ee671d26ea8fbda435f333a8080f6d2;eoa;85,590398;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x3aab9becca585b943e83a4e3a2ba88c6bfc72707;eoa;29,448113;0;29,448113;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x7040b1ba3d032fe1311b28c29db59d50222fb2d4;eoa;25,649563;0;25,649563;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x9110faa91713061057adacb17f56735b6119fdf8;eoa;12,113839;0;12,113839;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xa2d179f9156f30ab77bee6c155c45a6e0789b6c5;eoa;11,564647;0;11,564647;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xb5ecb41eb1f96b183619b43911eb4236cd1a7117;eoa;11,29793;7,674376;3,623554;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x3fbb94b2e04bb2cad1686bd82fe0ef8fe54646b3;eoa;10,488182;0;10,488182;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xed5d8227164653dd6eede7d7cca0b86f7463b573;eoa;10,300763;0;10,300763;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xdee9034869f929e21272ffdd0d1500994b23672e;eoa;9,672927;0;9,672927;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x69b235c1c3f16f828b2394193a7abea79ee40c07;eoa;6,580416;0;6,580416;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x48cf1d157ef52344c87776dd4686a59cfed3afbd;eoa;6,089057;0;6,089057;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xf507d5d365eddb168e1fffe059e9e3edde872a7f;contract_other;2,09082;0;22,09082;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x04ad5ef15ddb276e180ff4598cd8c8e736c9f0b5;eoa;2,031725;0;2,031725;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xdedcf5806c4968c6397eee97e68047bda339d0c1;eoa;1,868656;0,654462;1,214194;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xeda49bce2f38d284f839be1f4f2e23e6c7cc7dbd;eoa;1,420515;0;1,420515;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x1e5a573ed7b09386f40f6c560f5f97e8a8e51a12;eoa;1,231492;0,823721;0,407771;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x2b59f2cacceea02aead44189e4974bb0eb5cba0d;eoa;1,014929;0;1,014929;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xba5dfebcb7bff19669f8a98e327e5e4b2f117596;eoa;1,003932;0;1,003932;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0xc7fb4dcf75b040788db89ddfd1c70949fcbec59d;eoa;0,506052;0;0,506052;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x227f982ea2d57ce251bb5bb39a41629f818ff834;eoa;0,143321;0;0;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x264ec03547d2eba0d5fce80b3f34a867c95c7eb7;contract_other;0,13139;0;0,13139;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x104b30eb7265707b790ec374a3f9eded8d614599;contract_other;0,003239;0;0,003239;USDC
Sonic;0xa1627a0e1d0ebca9326d2219b84df0c600bed4b1;;0x28c974c18c6553b445c4b77f35d83f3499acf58f;eoa;0,001466;0;0,001466;USDC
