address,raw_amount,Amount sent
0x735dd9dd1fee6454ec033dac876c50870c44768a,18671929,18.6719
0x719bac3ace4293bb14ab7d4d3c9031858c671bda,18070508,18.0705
0x7f9adb20217a0dabd313123c03421b58952fd740,18030881,18.0308
0x33d730566fb2aeb4d93db15fcca7fd980cc53bad,18017746,18.0177
0xf06b3310486f872ab6808f6602af65a0ef0f48f8,17921805,17.9218
0xcd3ab369c5483b4556bf8d18f813654c87ac3236,17793291,17.7932
0x559c027192f28c0aa3f9f531324c7dadfacead82,17461106,17.4611
0xa9eaef87c01b4c46a691862c7ba94401394b8b9c,17049549,17.0495
0x0e5b9bb138a1db16bc604c7742194f94e4a359d2,16907202,16.9072
0xe0d1658ebce86d77a993c1e5777afcb859cd71b2,16866931,16.8669
0xbffc429c38d2d597847608b2a5f3b2e090a12668,16824853,16.8248
0x7f0ad84f7aeeece956cfefc7a47623265774088b,16059543,16.0595
0xb5c443bc3c15003d85ec77f526d1aff5343ed4b7,15731801,15.7318
0x4db4c609715d5212adb0a2640928e6d532523439,15636789,15.6367
0x704663075dee671fd4ce24a8275f73ce7fdb01ca,15417330,15.4173
0x281e5c38bacea0f32e48edc9952de4c068f9012e,14614876,14.6148
0xcffc88c705af9e89394f0ed3602cf84fac1118fd,14420852,14.4208
0xac9987eec2b599f9f935de8b1bfee21d1311b185,14396258,14.3962
0xfacb7faec36c008263b81b1cc1f0783113ae5bef,13545738,13.5457
0x27fae42e93707f93018c965cf3f16a67d848d1ff,13465624,13.4656
0x1b46f0e881fbab3cca093ec3faeebee45b47a611,13367552,13.3675
0x186b12ceaf08fde22e32647fcc800e45876f5bd0,13347179,13.3471
0x93db2e90f8b2b073010b425f9350202330bd923e,13210757,13.2107
0xcb58e5b910d260aa1e6cf55fecc5261868cca570,12609397,12.6093
0xfda12e31b7b02e41fc11c600fe8c4a5e7603044a,12516944,12.5169
0x7d5187bc7cedb5b38faf473f17c9adf6e6bcccdb,12387303,12.3873
0xc947bb0f5714406695094a89206bbbcc96e47feb,12332597,12.3325
0xb060dbca269acee68a8ecc5b6e763f4849c33cbc,12315957,12.3159
0x899e6d9f1746be441b457175f8d339ad5462c943,12105920,12.1059
0x1b648ade1ef219c87987cd60eba069a7faf1621f,11937274,11.9372
0xf30e376eca825b69cec3b8d523fb91e83a4cf9a5,11934490,11.9344
0x227f982ea2d57ce251bb5bb39a41629f818ff834,11688945,11.6889
0x7febf0878c8d3a266fb16aef1b92eafbce91a12e,11064232,11.0642
0x808262827e24151879813cbeec568065e1c5cc2c,10393078,10.393
0x458cff3caff7129e1d0d905b15e28822da0d3d09,10320042,10.32
0xcd2ae93e311ad463ca1a6bfae080f6718776268e,10268642,10.2686
0xe04371e7db88536642441d7ee8b5a06839d09b98,10220320,10.2203
0xe839c91e61b6747c027a571e94abf3c0ec7a3682,10168710,10.1687
0xfeb803d0e288615fdcd86ab9853e897ad28ceba4,10163275,10.1632
0xe88ade0824ba4dd6a36891dd60b83c20462b3545,9911589,9.9115
0xd7123df9b92f7dc8542fb8231d29ee052a8807d9,9655270,9.6552
0x91d9c060f7c8a344976a8b5e695de96596cfb7c7,9503833,9.5038
0x3c66773a87bab490753130783b6c63f448417bd8,9474506,9.4745
0x92c43859db0f3e03eea0f05529775f4612f5de33,9346424,9.3464
0x041a302cb99fcf09e021e481a22fe8985531f707,9328437,9.3284
0xfe2fb8587760c8d5960cb7a5ba2f2299edf10506,9166744,9.1667
0x4fd4d313f8aa7601c0d059f9fc964cdb766ed61a,9093586,9.0935
0x10a28fb144bc79eda79194e818323dd9c3217016,9029537,9.0295
0xacc0fc3df0529717f50fa560b462b1ec1d13a276,8896213,8.8962
0x30d8ff6c16c96f4968282b9e8472d2115a2d4194,8855101,8.8551
0x0bf34484963766bf1d6bd0a15fe7ec6f72f3bd32,8535278,8.5352
0xba63d47ce22dcd70476f81f3b5420df17c71fabb,8530268,8.5302
0x2be250612790d1df5ebfea46c2346654cd7a0afa,8273112,8.2731
0x5c86feb3276fecd3d552e47ad7e9bb43a13acc0d,8255037,8.255
0xf903672ba62039591812141eecb4cfd9416cfc83,8115234,8.1152
0xfbd3c2ecf403ccd40d3f2d5f0b224f6a58b188b2,7771224,7.7712
0x685129f2c8dfe96ea1bf0be3e56ff984fbe81224,7658312,7.6583
0x1d880684b7086fcf37f876757e0f1b0d3fbd4962,7526781,7.5267
0x71a052f081b9e4c322fbb2b1111ab68c66774710,7517745,7.5177
0x60e2a70a4ba833fe94af82f01742e7bfd8e18fa0,7326417,7.3264
0xeec9b9f41487cafce246caa8890cf5da866424c0,7057870,7.0578
0x6619b0d21cbbcc86207ffd0093646104720bada1,6975024,6.975
0xb957dccaa1ccfb1eb78b495b499801d591d8a403,6743891,6.7438
0x88fb689146b3c635b0621ad67f9bb9a7ea8becc9,6688988,6.6889
0x27fae9d8f186651a0e6fe084cd4feaaf2533d9f1,6467854,6.4678
0xd25d509b72a026f14189041d8ef5a279f69ab93d,6293213,6.2932
0xddad5ecc5db0c8e766ec531528d013df08e8db39,6241437,6.2414
0xe360b9b0c654c9b58386962094cd32738eb78ce5,6131676,6.1316
0x90af14e7a2f2b530508f1f145272b2385963af25,6131140,6.1311
0xc86e0e7f329b4b0a5dd941862f2ef6befff161e0,6054411,6.0544
0xa454b495b51dbe5e304a13b80cd01ab5604e1e66,6050665,6.0506
0xc7b53473a3f3b7a8d341c0f5496ed365148aae4f,5653660,5.6536
0x23a5973d18990210324e5553507ac8feb939dd57,5621533,5.6215
0x57664dbc37702885c4ce90470256cad3397b0b50,5295922,5.2959
0x524abcdcdc0028f593a1c0fe2294a64fc2299849,5177011,5.177
0xff0bb9630e0c4285f0de14c7e07cde99706993ac,5043895,5.0438
0x3ff14a8af2e8f230cafc5999eaf40a7eb5528f46,5025454,5.0254
0x3e8e5443bb9bd4504468194461902d101766ffe1,4976267,4.9762
0xe3bfaecddb5668868b1ad9d74b43f0a426d3ed1a,4952887,4.9528
0x48e8b00109c0861aaa81cfd761707c6dff1ddf96,4795053,4.795
0x85c02a8354b1ad316dfed074962b0968d4fe922e,4473580,4.4735
0x93825446377674784c06ecbc2f869ce0c5db6887,4396526,4.3965
0xbc1b5aabd7102187768e475a924420f9990a6539,4354398,4.3543
0xb7bb43e68b41ed173c29c8869ac90a18c551c598,4258065,4.258
0x8d4d19405ba352e4767681c28936fc0a9a8c8dfe,4117964,4.1179
0xb836fe204d1005af6f41397124c1fc93bcef7705,3988692,3.9886
0x30f1d8681c253b3dcf6a2c40bd6980b662e24c3c,3955975,3.9559
0x64458b037d1597ee8be302684033e335816c7f6f,3839955,3.8399
0x706450ad6d263650832b369c737a142a92c3a41d,3702267,3.7022
0xe0ee6d5339db34c22ce955654f0e13ce0b50a28c,3651178,3.6511
0x9b6df1980540a62cb39788e6a02a32dade17c548,3604377,3.6043
0x2122bc98866376d602968b58a2b84462f470e976,3554471,3.5544
0x00f6a4cdbb566a414e40c07a7637d5faef3a8792,3336765,3.3367
0x9f6d7d35ca9eb8d678c2876b3c426461df9bc3ba,3253578,3.2535
